,budget_rank,budget,domestic_gross,worldwide_gross,dom_profits,total_profits,budget_quart,profit_transform,dom_profit_transform,rating,critic_rating,aud_rating,release_date
Spaced Invaders,4030,3000000,13654536,13654536,10654536,10654536,41.6179145029,18.6121666628,19.1749035364,52,0,0,
Family Plot,4031,3000000,13200000,13200000,10200000,10200000,41.6179145029,18.6084063559,19.1727632191,88,0,0,
Torn Curtain,4032,3000000,13000000,13000000,10000000,10000000,41.6179145029,18.6067472962,19.1718200066,11,0,0,
Dave Chappelle's Block Party,4033,3000000,11718595,12051924,8718595,9051924,41.6179145029,18.5988450548,19.1657556187,99,0,0,
Krush Groove,4034,3000000,11052713,11052713,8052713,8052713,41.6179145029,18.590448455,19.1625896788,25,0,0,
Elmer Gantry,4035,3000000,10400000,10400000,7400000,7400000,41.6179145029,18.5849252409,19.1594765927,53,0,0,
Next Day Air,4036,3000000,10027047,10172519,7027047,7172519,41.6179145029,18.5829931207,19.1576934492,40,0,0,
Judgment at Nuremberg,4037,3000000,10000000,10000000,7000000,7000000,41.6179145029,18.5815253296,19.1575640098,70,0,0,
Trippin',4038,3000000,9017070,9017070,6017070,6017070,41.6179145029,18.573121208,19.1528485744,83,0,0,
Red River,4039,3000000,9012000,9012000,6012000,6012000,41.6179145029,18.5730776755,19.1528241943,16,0,0,
The Deep End,4040,3000000,8823109,9981635,5823109,6981635,41.6179145029,18.5813689533,19.1519154478,43,0,0,
Before Midnight,4041,3000000,8110621,23376973,5110621,20376973,41.6179145029,18.6893880412,19.1484802473,62,0,0,
Teen Wolf Too,4042,3000000,7888000,7888000,4888000,4888000,41.6179145029,18.5633796042,19.1474044749,87,0,0,
Phat Girlz,4043,3000000,7061128,7301115,4061128,4301115,41.6179145029,18.5582782326,19.1433986151,40,0,0,
Phantasm II,4044,3000000,7000000,7000000,4000000,4000000,41.6179145029,18.5556507189,19.1431018367,56,0,0,
Woman Thou Art Loosed,4045,3000000,6879730,6879730,3879730,3879730,41.6179145029,18.5545993167,19.1425176648,0,0,0,
Real Women Have Curves,4046,3000000,5853194,7777790,2853194,4777790,41.6179145029,18.56242361,19.1375176686,51,0,0,
Gallipoli,4047,3000000,5732587,5732587,2732587,2732587,41.6179145029,18.544515025,19.136928578,26,0,0,
Water,4048,3000000,5529144,11322573,2529144,8322573,41.6179145029,18.5927231088,19.1359340976,28,0,0,
East is East,4049,3000000,4170647,30438635,1170647,27438635,41.6179145029,18.7419586797,19.1292679515,70,0,0,
Whipped,4050,3000000,4142507,4142507,1142507,1142507,41.6179145029,18.5303666328,19.1291293976,9,0,0,
Kama Sutra,4051,3000000,4109095,4109095,1109095,1109095,41.6179145029,18.5300671778,19.1289648609,35,0,0,
Please Give,4052,3000000,4033574,4570178,1033574,1570178,41.6179145029,18.5341917342,19.1285928595,9,0,0,
Willy Wonka & the Chocolate Factory,4053,3000000,4000000,4000000,1000000,1000000,41.6179145029,18.5290887893,19.1284274362,14,0,0,
Warlock: The Armageddon,4054,3000000,3902679,3902679,902679,902679,41.6179145029,18.528215184,19.1279477687,100,0,0,
8 Heads in a Duffel Bag,4055,3000000,3559990,3959990,559990,959990,41.6179145029,18.5287297305,19.1262569186,66,0,0,
Days of Heaven,4056,3000000,3446749,3660880,446749,660880,41.6179145029,18.5260413577,19.125697551,53,0,0,
Thirteen Conversations About One Thing,4057,3000000,3287435,3705923,287435,705923,41.6179145029,18.5264466625,19.1249100701,10,0,0,
Jawbreaker,4058,3000000,3076820,3076820,76820,76820,41.6179145029,18.520770954,19.1238680583,1,0,0,
Tsotsi,4059,3000000,2912606,11537539,-87394,8537539,41.6179145029,18.5945313652,19.1230548602,20,0,0,
Letters to God,4060,3000000,2848587,2908902,-151413,-91098,41.6179145029,18.5192505509,19.1227376548,91,0,0,
Happiness,4061,3000000,2746453,5746453,-253547,2746453,41.6179145029,18.5446375273,19.1222313864,20,0,0,
Basquiat,4062,3000000,2729067,2729067,-270933,-270933,41.6179145029,18.5176196785,19.1221451801,9,0,0,
DysFunkTional Family,4063,3000000,2255000,2255000,-745000,-745000,41.6179145029,18.5133077091,19.1197917108,60,0,0,
Tusk,4064,3000000,1821983,1821983,-1178017,-1178017,41.6179145029,18.5093528038,19.1176371801,53,0,0,
Damsels in Distress,4065,3000000,1007535,1324299,-1992465,-1675701,41.6179145029,18.5047878669,19.1135721719,74,0,0,
Oldboy,4066,3000000,707391,6239723,-2292609,3239723,41.6179145029,18.5489856963,19.1120699402,12,0,0,
Hobo with a Shotgun,4067,3000000,703372,834953,-2296628,-2165047,41.6179145029,18.5002789991,19.1120498097,17,0,0,
Bachelorette,4068,3000000,446770,12577401,-2553230,9577401,41.6179145029,18.6032326326,19.1107636896,37,0,0,
Fish Tank,4069,3000000,374675,5922292,-2625325,2922292,41.6179145029,18.5461897154,19.1104020429,66,0,0,
Creature,4070,3000000,327000,327000,-2673000,-2673000,41.6179145029,18.4955770811,19.1101628213,5,0,0,
Freeway,4071,3000000,295493,295493,-2704507,-2704507,41.6179145029,18.4952847039,19.1100046953,32,0,0,
Love's Abiding Joy,4072,3000000,252726,252726,-2747274,-2747274,41.6179145029,18.4948876999,19.1097900182,3,0,0,
Braindead,4073,3000000,242623,242623,-2757377,-2757377,41.6179145029,18.4947938912,19.1097392975,76,0,0,
Chain Letter,4074,3000000,205842,1022453,-2794158,-1977547,41.6179145029,18.5020090404,19.109554622,40,0,0,
Tim and Eric's Billion Dollar Movie,4075,3000000,201436,223652,-2798564,-2776348,41.6179145029,18.4946177173,19.1095324974,12,0,0,
Holly,4076,3000000,163069,163069,-2836931,-2836931,41.6179145029,18.4940549063,19.1093398181,65,0,0,
The Eclipse,4077,3000000,133411,133411,-2866589,-2866589,41.6179145029,18.4937792705,19.1091908499,66,0,0,
The Grand,4078,3000000,115879,115879,-2884121,-2884121,41.6179145029,18.4936162956,19.1091027786,19,0,0,
Sommersturm,4079,3000000,95204,95204,-2904796,-2904796,41.6179145029,18.4934240698,19.1089989086,47,0,0,
Fort McCoy,4080,3000000,78948,78948,-2921052,-2921052,41.6179145029,18.4932729036,19.1089172318,61,0,0,
The Gambler,4081,3000000,51773,101773,-2948227,-2898227,41.6179145029,18.4934851491,19.1087806786,58,0,0,
Just Looking,4082,3000000,39852,39852,-2960148,-2960148,41.6179145029,18.4929092525,19.1087207702,85,0,0,
The Divide,4083,3000000,18000,22422,-2982000,-2977578,41.6179145029,18.4927470849,19.1086109448,18,0,0,
Tanner Hall,4084,3000000,5073,5073,-2994927,-2994927,41.6179145029,18.4925856448,19.1085459696,84,0,0,
My Big Fat Independent Movie,4085,3000000,4655,4655,-2995345,-2995345,41.6179145029,18.4925817548,19.1085438685,60,0,0,
Cinderella,4103,2900000,85000000,263591415,82100000,260691415,41.2666770723,19.7320943725,19.4646302821,85,0,0,
Central do Brasil,4104,2900000,5969553,17006158,3069553,14106158,41.2666770723,18.6402691834,19.1385735796,28,0,0,
Pocketful of Miracles,4105,2900000,5000000,5000000,2100000,2100000,41.2666770723,18.5389102756,19.1338330853,62,0,0,
Boynton Beach Club,4106,2900000,3127472,3127472,227472,227472,41.2666770723,18.5221330586,19.1246135154,32,0,0,
Freakonomics,4107,2900000,101270,172867,-2798730,-2727133,41.2666770723,18.4950746874,19.1095316638,55,0,0,
Griff the Invisible,4108,2900000,20778,25935,-2879222,-2874065,41.2666770723,18.4937097779,19.1091273893,32,0,0,
Some Like it Hot,4109,2883848,25000000,25000000,22116152,22116152,41.2090963778,18.7025941648,19.2274131528,33,0,0,
High Tension,4110,2850000,3681066,6435262,831066,3585262,41.0876417139,18.5520203966,19.1275946617,82,0,0,
Young Frankenstein,4111,2800000,86300000,86300000,83500000,83500000,40.9062348924,19.0831121996,19.4695470353,72,0,0,
The Omen,4112,2800000,48570885,48570885,45770885,45770885,40.9062348924,18.8667830424,19.3277781706,68,0,0,
Hustle & Flow,4113,2800000,22201798,23590772,19401798,20790772,40.9062348924,18.6925459924,19.2152246302,14,0,0,
Friday the 13th Part VII: The New Blood,4114,2800000,19170001,19170001,16370001,16370001,40.9062348924,18.6582812324,19.2014326846,82,0,0,
Artie Lange's Beer League,4115,2800000,475000,475000,-2325000,-2325000,40.9062348924,18.4988007615,19.1119076871,78,0,0,
The Wizard of Oz,4116,2777000,33711566,33711566,30934566,30934566,40.8219710082,18.7669958658,19.2660161958,25,0,0,
Diary of the Dead,4117,2750000,952620,5394447,-1797380,2644447,40.7223819929,18.5437359816,19.1145473707,91,0,0,
The Black Stallion,4118,2700000,37799643,37799643,35099643,35099643,40.5360046442,18.7960294381,19.2837435281,83,0,0,
Ulee's Gold,4119,2700000,9054736,15600000,6354736,12900000,40.5360046442,18.6305383629,19.1544709767,43,0,0,
Lage Raho Munna Bhai,4120,2700000,2217561,31517561,-482439,28817561,40.5360046442,18.7519092779,19.121095859,89,0,0,
Donovan's Reef,4123,2686000,6600000,6600000,3914000,3914000,40.4833554873,18.5548990182,19.1426841548,50,0,0,
The Dress,4124,2650000,16556,16556,-2633444,-2633444,40.3470204552,18.49594403,19.1103613078,7,0,0,
A Guy Named Joe,4125,2627000,5363000,5363000,2736000,2736000,40.2591886466,18.5445451793,19.1369452531,4,0,0,
Blazing Saddles,4126,2600000,119500000,119500000,116900000,116900000,40.1553427287,19.2420023027,19.5802041107,77,0,0,
Friday the 13th Part IV: The Final Chapter,4127,2600000,30393007,30393007,27793007,27793007,40.1553427287,18.7445253654,19.2524341036,8,0,0,
Ida,4128,2600000,3827060,4741716,1227060,2141716,40.1553427287,18.5392808502,19.1295456563,29,0,0,
Maurice,4129,2600000,3130592,3130592,530592,530592,40.1553427287,18.5248680778,19.1261117337,17,0,0,
Riding Giants,4130,2600000,2276368,3292333,-323632,692333,40.1553427287,18.5263243946,19.1218838334,55,0,0,
Los Cronocrímenes,4131,2600000,39127,564474,-2560873,-2035526,40.1553427287,18.5014743943,19.1107253566,15,0,0,
Singin' in the Rain,4136,2540000,7200000,7200000,4660000,4660000,39.9216450694,18.5614008533,19.1463015087,70,0,0,
A Haunted House,4137,2500000,40041683,59922558,37541683,57422558,39.7635364384,18.9387171078,19.2939930078,32,0,0,
2016: Obamas America,4138,2500000,33349941,33349941,30849941,30849941,39.7635364384,18.7663971428,19.2656527388,19,0,0,
Kevin Hart: Let Me Explain,4139,2500000,32244051,32327255,29744051,29827255,39.7635364384,18.7591331403,19.2608908541,50,0,0,
Garden State,4140,2500000,26782316,36028802,24282316,33528802,39.7635364384,18.7851783192,19.2370346123,54,0,0,
That Thing You Do!,4141,2500000,25809813,34509813,23309813,32009813,39.7635364384,18.7745722027,19.2327264889,90,0,0,
Halloween II,4142,2500000,25533818,25533818,23033818,23033818,39.7635364384,18.709492628,19.2315004608,6,0,0,
Halloween 3: Season of the Witch,4143,2500000,14400000,14400000,11900000,11900000,39.7635364384,18.6223983259,19.1807448073,87,0,0,
Religulous,4144,2500000,13011160,13881317,10511160,11381317,39.7635364384,18.6181499849,19.1742289025,55,0,0,
Escape from the Planet of the Apes,4145,2500000,12300000,12300000,9800000,9800000,39.7635364384,18.6050854795,19.1708759037,25,0,0,
Hud,4146,2500000,10000000,10000000,7500000,7500000,39.7635364384,18.5857734156,19.1599541674,42,0,0,
The Spectacular Now,4147,2500000,6852971,6916951,4352971,4416951,39.7635364384,18.5592871756,19.1448143093,20,0,0,
My Own Private Idaho,4148,2500000,6401336,6401336,3901336,3901336,39.7635364384,18.5547882782,19.142622634,46,0,0,
Before Sunrise,4149,2500000,5184616,5184616,2684616,2684616,39.7635364384,18.5440910988,19.1366941728,70,0,0,
Robot & Frank,4150,2500000,3317468,4934356,817468,2434356,39.7635364384,18.5418765983,19.127527599,28,0,0,
Sur Le Seuil,4151,2500000,2013052,2013052,-486948,-486948,39.7635364384,18.5156571773,19.121073477,80,0,0,
Jesus' Son,4152,2500000,1282084,1687548,-1217916,-812452,39.7635364384,18.5126926724,19.1174384239,51,0,0,
Saving Face,4153,2500000,1187266,1269705,-1312734,-1230295,39.7635364384,18.5088742695,19.1169659309,72,0,0,
Brick Lane,4154,2500000,1094998,3838486,-1405002,1338486,39.7635364384,18.5321212908,19.1165059305,96,0,0,
The Lost Medallion: The Adventures of Billy Stone,4155,2500000,549632,549632,-1950368,-1950368,39.7635364384,18.5022595697,19.1137826885,13,0,0,
My Life Without Me,4156,2500000,432360,12267275,-2067640,9767275,39.7635364384,18.6048133016,19.11319613,38,0,0,
Marilyn Hotchkiss' Ballroom Dancing and Charm School,4157,2500000,341897,489960,-2158103,-2010040,39.7635364384,18.5017094455,19.1127434267,59,0,0,
Super,4158,2500000,324138,590355,-2175862,-1909645,39.7635364384,18.502634827,19.1126545314,59,0,0,
Fuel,4159,2500000,174255,174255,-2325745,-2325745,39.7635364384,18.4987938713,19.1119039549,0,0,0,
Valley of the Hearts Delight,4160,2500000,118666,118666,-2381334,-2381334,39.7635364384,18.4982796188,19.1116254359,79,0,0,
The Other End of the Line,4161,2500000,115504,507446,-2384496,-1992554,39.7635364384,18.5018706826,19.1116095909,5,0,0,
8: The Mormon Proposition,4162,2500000,100280,100280,-2399720,-2399720,39.7635364384,18.4981094721,19.1115332989,77,0,0,
Sleep Dealer,4163,2500000,80136,108907,-2419864,-2391093,39.7635364384,18.4981893112,19.1114323424,64,0,0,
Eye of the Dolphin,4164,2500000,72210,72260,-2427790,-2427740,39.7635364384,18.4978501153,19.1113926166,17,0,0,
Underdogs,4165,2500000,35017,35017,-2464983,-2464983,39.7635364384,18.4975052851,19.1112061808,5,0,0,
Anatomie,4166,2500000,9598,9598,-2490402,-2490402,39.7635364384,18.4972698642,19.111078744,60,0,0,
Go For It!,4175,2450000,180237,182358,-2269763,-2267642,39.5632099841,18.4993310982,19.1121843647,84,0,0,
Get on the Bus,4176,2400000,5660056,5660056,3260056,3260056,39.3597934253,18.5491645264,19.1395023818,20,0,0,
Thr3e,4177,2400000,1008849,1420418,-1391151,-979582,39.3597934253,18.5111671262,19.1165749979,62,0,0,
Idiocracy,4178,2400000,444093,500296,-1955907,-1899704,39.3597934253,18.5027264106,19.1137549919,90,0,0,
This is England,4180,2380000,327919,8739576,-2052081,6359576,39.2775363542,18.5760576831,19.1132739712,13,0,0,
Bathing Beauty,4181,2361000,3500000,3500000,1139000,1139000,39.1989105382,18.5303352055,19.1291121287,78,0,0,
Do You Believe?,4182,2300000,12985600,13741342,10685600,11441342,38.9432290496,18.618642552,19.1750496434,97,0,0,
Show Boat,4183,2300000,11000000,11000000,8700000,8700000,38.9432290496,18.5958957926,19.1656673445,50,0,0,
"Dancer, Texas Pop. 81",4184,2300000,565592,565592,-1734408,-1734408,38.9432290496,18.5042480085,19.1148619548,82,0,0,
Redemption Road,4185,2300000,29384,29384,-2270616,-2270616,38.9432290496,18.4993036073,19.1121800926,3,0,0,
Fantasia,4189,2280000,83320000,83320000,81040000,81040000,38.8582923847,19.0703474097,19.4608914499,5,0,0,
Friday the 13th Part 3,4190,2250000,33985198,33985198,31735198,31735198,38.7298334621,18.7726426792,19.2694483195,41,0,0,
The French Connection,4191,2200000,41158757,41158757,38958757,38958757,38.5128510684,18.8221980632,19.2998927914,67,0,0,
Friday the 13th Part V: A New Beginning,4192,2200000,20674880,20674880,18474880,18474880,38.5128510684,18.6747423443,19.2110281398,65,0,0,
The Last Sin Eater,4193,2200000,388390,388390,-1811610,-1811610,38.5128510684,18.5035376297,19.1144762693,4,0,0,
The Valley of Decision,4195,2160000,9132000,9132000,6972000,6972000,38.3365862548,18.5812869024,19.1574299919,76,0,0,
The Best Years of Our Lives,4198,2100000,23600000,23600000,21500000,21500000,38.0675409584,18.697935455,19.2246593917,2,0,0,
Bully,4199,2100000,881824,1381824,-1218176,-718176,38.0675409584,18.5135521889,19.1174371285,88,0,0,
Elling,4200,2100000,313436,313436,-1786564,-1786564,38.0675409584,18.5037681473,19.1146014103,96,0,0,
Courageous,4207,2000000,34522221,35185884,32522221,33185884,37.6060309309,18.7827937568,19.2728106626,26,0,0,
Nancy Drew,4208,2000000,25584685,30703845,23584685,28703845,37.6060309309,18.7510924168,19.2339460362,49,0,0,
From Russia With Love,4209,2000000,24800000,78900000,22800000,76900000,37.6060309309,19.048490375,19.2304606144,58,0,0,
Mad Max 2: The Road Warrior,4210,2000000,24600832,24600832,22600832,22600832,37.6060309309,18.7062436276,19.2295740115,64,0,0,
Notorious,4211,2000000,24464742,24464742,22464742,22464742,37.6060309309,18.7052202638,19.22896775,55,0,0,
In the Heat of the Night,4212,2000000,24379978,24379978,22379978,22379978,37.6060309309,18.7045823294,19.2285899527,60,0,0,
Sleeper,4213,2000000,18344729,18344729,16344729,16344729,37.6060309309,18.6580819384,19.2013169166,93,0,0,
Everything You Always Wanted to Know,4214,2000000,18016290,18016290,16016290,16016290,37.6060309309,18.655488262,19.1998111569,51,0,0,
It Follows,4215,2000000,14674077,20649774,12674077,18649774,37.6060309309,18.6760979798,19.1843581377,53,0,0,
To Kill A Mockingbird,4216,2000000,13129846,13129846,11129846,11129846,37.6060309309,18.6160837642,19.1771367853,37,0,0,
Silent House,4217,2000000,12739737,16610760,10739737,14610760,37.6060309309,18.6443121923,19.1753042212,22,0,0,
The Legend of Drunken Master,4218,2000000,11546543,11546543,9546543,9546543,37.6060309309,18.6029755088,19.1696781742,37,0,0,
Boys Don't Cry,4219,2000000,11540607,20741000,9540607,18741000,37.6060309309,18.6768043607,19.169650106,26,0,0,
Das Leben der Anderen,4220,2000000,11284657,81197047,9284657,79197047,37.6060309309,19.0606765313,19.1684391042,27,0,0,
Lolita,4221,2000000,9250000,9250000,7250000,7250000,37.6060309309,18.5836516284,19.1587598027,50,0,0,
Boom Town,4222,2000000,9172000,9172000,7172000,7172000,37.6060309309,18.5829887083,19.1583868688,8,0,0,
Gentleman's Agreement,4223,2000000,7800000,7800000,5800000,5800000,37.6060309309,18.5712556842,19.1518042147,76,0,0,
The Hustler,4224,2000000,7600000,7600000,5600000,5600000,37.6060309309,18.5695337761,19.1508410152,22,0,0,
Witchboard,4225,2000000,7369373,7369373,5369373,5369373,37.6060309309,18.5675444957,19.1497291632,3,0,0,
Les Triplettes de Belleville,4226,2000000,6998643,17100523,4998643,15100523,37.6060309309,18.6482207368,19.1479392802,49,0,0,
Smoke Signals,4227,2000000,6719300,7756617,4719300,5756617,37.6060309309,18.5708824283,19.1465884937,22,0,0,
Winter's Bone,4228,2000000,6531503,16131551,4531503,14131551,37.6060309309,18.6404730301,19.1456793588,53,0,0,
American Splendor,4229,2000000,6003587,8685632,4003587,6685632,37.6060309309,18.5788451353,19.1431192541,68,0,0,
Before Sunset,4230,2000000,5792822,11293790,3792822,9293790,37.6060309309,18.6008669559,19.1420953253,22,0,0,
Amores Perros,4231,2000000,5383834,20883834,3383834,18883834,37.6060309309,18.6779093512,19.1401054025,30,0,0,
Thirteen,4232,2000000,4601043,9505996,2601043,7505996,37.6060309309,18.5858242493,19.136285671,86,0,0,
Touching the Void,4233,2000000,4593598,15396525,2593598,13396525,37.6060309309,18.6345556095,19.136249272,25,0,0,
Inside Job,4234,2000000,4311834,7799257,2311834,5799257,37.6060309309,18.5712492928,19.1348707384,24,0,0,
Alexander's Ragtime Band,4235,2000000,4000000,4000000,2000000,2000000,37.6060309309,18.5380213885,19.1333428683,1,0,0,
Me and You and Everyone We Know,4236,2000000,3885134,9615464,1885134,7615464,37.6060309309,18.5867518581,19.132779479,64,0,0,
We Are Your Friends,4237,2000000,3591417,9417474,1591417,7417474,37.6060309309,18.5850735028,19.1313374246,71,0,0,
Harsh Times,4238,2000000,3337931,6225304,1337931,4225304,37.6060309309,18.5576173598,19.1300912174,87,0,0,
Ghost Dog: Way of the Samurai,4239,2000000,3330230,6030230,1330230,4030230,37.6060309309,18.5559148163,19.1300533328,31,0,0,
Captive,4240,2000000,2583301,2757776,583301,757776,37.6060309309,18.5269130416,19.1263720273,74,0,0,
Full Frontal,4241,2000000,2512846,3438804,512846,1438804,37.6060309309,18.5330182776,19.1260240831,15,0,0,
Waltz with Bashir,4242,2000000,2283849,13912289,283849,11912289,37.6060309309,18.622498762,19.1248923376,93,0,0,
Strangers with Candy,4243,2000000,2072645,2077844,72645,77844,37.6060309309,18.5207802187,19.1238473916,2,0,0,
Shortbus,4244,2000000,1985292,1985292,-14708,-14708,37.6060309309,18.5199425061,19.1234148874,50,0,0,
Son of Rambow: A Home Movie,4245,2000000,1785505,11263263,-214495,9263263,37.6060309309,18.600611988,19.1224249936,17,0,0,
"The Book of Mormon Movie, Volume 1: The Journey",4246,2000000,1660865,1660865,-339135,-339135,37.6060309309,18.5170004777,19.1218069374,43,0,0,
Hamlet,4247,2000000,1577287,2419669,-422713,419669,37.6060309309,18.5238680991,19.1213922825,22,0,0,
No End In Sight,4248,2000000,1433319,1433319,-566681,-566681,37.6060309309,18.5149318268,19.1206776118,30,0,0,
Get Real,4249,2000000,1152411,1152411,-847589,-847589,37.6060309309,18.5123721385,19.1192816857,63,0,0,
In the Shadow of the Moon,4250,2000000,1134358,1134358,-865642,-865642,37.6060309309,18.5122074117,19.1191919076,61,0,0,
Meek's Cutoff,4251,2000000,977772,1869928,-1022228,-130072,37.6060309309,18.5188973325,19.1184128627,41,0,0,
Inside Deep Throat,4252,2000000,653621,653621,-1346379,-1346379,37.6060309309,18.5078108582,19.1167982189,87,0,0,
The Virginity Hit,4253,2000000,636706,636706,-1363294,-1363294,37.6060309309,18.5076558104,19.1167138912,58,0,0,
Dinner Rush,4254,2000000,615941,1053218,-1384059,-946782,37.6060309309,18.511466705,19.11661036,48,0,0,
Clockwatchers,4255,2000000,537948,539961,-1462052,-1460039,37.6060309309,18.5067685555,19.1162214029,71,0,0,
Subway,4256,2000000,390659,1663296,-1609341,-336704,37.6060309309,18.5170225552,19.1154864485,90,0,0,
House of D,4257,2000000,388532,466106,-1611468,-1533894,37.6060309309,18.5060906961,19.115475831,70,0,0,
Teeth,4258,2000000,347578,2350641,-1652422,350641,37.6060309309,18.5232453017,19.1152713773,50,0,0,
Stonewall,4259,2000000,304602,304602,-1695398,-1695398,37.6060309309,18.5046067696,19.1150567842,56,0,0,
Sherrybaby,4260,2000000,199176,622806,-1800824,-1377194,37.6060309309,18.507528381,19.1145301629,28,0,0,
Six-String Samurai,4261,2000000,124494,124494,-1875506,-1875506,37.6060309309,18.502949305,19.1141569454,69,0,0,
Hum to Mohabbt Karega,4262,2000000,121807,121807,-1878193,-1878193,37.6060309309,18.5029245567,19.1141435148,66,0,0,
It's All Gone Pete Tong,4263,2000000,120620,2226603,-1879380,226603,37.6060309309,18.522125207,19.1141375816,18,0,0,
Saint John of Las Vegas,4264,2000000,102645,102645,-1897355,-1897355,37.6060309309,18.5027480501,19.1140477304,4,0,0,
24 7: Twenty Four Seven,4265,2000000,72544,72544,-1927456,-1927456,37.6060309309,18.5024707182,19.1138972472,7,0,0,
Pump,4266,2000000,72277,72277,-1927723,-1927723,37.6060309309,18.5024682579,19.1138959123,77,0,0,
Roadside Romeo,4267,2000000,55202,2046090,-1944798,46090,37.6060309309,18.5204928839,19.1138105394,30,0,0,
Eureka,4268,2000000,49388,76654,-1950612,-1923346,37.6060309309,18.5025085897,19.1137814685,61,0,0,
This Thing of Ours,4269,2000000,37227,37227,-1962773,-1962773,37.6060309309,18.5021452313,19.1137206588,95,0,0,
Super Capers,4270,2000000,30955,30955,-1969045,-1969045,37.6060309309,18.5020874165,19.113689295,89,0,0,
Return of the Living Dead 3,4271,2000000,21000,21000,-1979000,-1979000,37.6060309309,18.5019956452,19.1136395118,67,0,0,
The Missing Person,4272,2000000,17896,17896,-1982104,-1982104,37.6060309309,18.5019670289,19.1136239888,77,0,0,
London,4273,2000000,12667,12667,-1987333,-1987333,37.6060309309,18.5019188201,19.1135978381,24,0,0,
Circle,4274,2000000,10024,10024,-1989976,-1989976,37.6060309309,18.501894452,19.11358462,10,0,0,
Eden Lake,4275,2000000,7321,4294373,-1992679,2294373,37.6060309309,18.5406357748,19.1135711016,91,0,0,
Jerusalema,4276,2000000,7294,10679,-1992706,-1989321,37.6060309309,18.501900491,19.1135709666,49,0,0,
Say Uncle,4277,2000000,5361,5361,-1994639,-1994639,37.6060309309,18.5018514584,19.113561299,68,0,0,
Plush,4278,2000000,3320,29104,-1996680,-1970896,37.6060309309,18.5020703535,19.1135510912,73,0,0,
The Ghastly Love of Johnny X,4279,2000000,2436,2436,-1997564,-1997564,37.6060309309,18.5018244884,19.11354667,94,0,0,
Buried,4306,1987650,1044143,21270290,-943507,19282640,37.5478417023,18.6809881407,19.1188045904,31,0,0,
River's Edge,4308,1900000,4600000,4600000,2700000,2700000,37.1268753763,18.5442270689,19.1367693511,15,0,0,
Man on Wire,4309,1900000,2962242,5617067,1062242,3717067,37.1268753763,18.5531755533,19.1287340886,1,0,0,
Nowhere Boy,4310,1900000,1445366,7785229,-454634,5885229,37.1268753763,18.5719885668,19.1212338677,8,0,0,
Northfork,4311,1900000,1420578,1445140,-479422,-454860,37.1268753763,18.5159489411,19.1211108347,9,0,0,
Brotherly Love,4312,1900000,478595,478595,-1421405,-1421405,37.1268753763,18.5071229649,19.1164241315,8,0,0,
Submarine,4313,1900000,467602,4581937,-1432398,2681937,37.1268753763,18.5440674188,19.1163693075,64,0,0,
The Square,4314,1900000,406216,740932,-1493784,-1159068,37.1268753763,18.5095261997,19.1160631097,97,0,0,
ABCD (Any Body Can Dance),4315,1900000,222098,10137234,-1677902,8237234,37.1268753763,18.5920043444,19.115144153,86,0,0,
Chacun sa nuit,4316,1900000,18435,139317,-1881565,-1760683,37.1268753763,18.5040062942,19.1141266599,91,0,0,
The Last Exorcism,4319,1800000,41034350,70165900,39234350,68365900,36.6284150148,19.0018686963,19.3010361513,14,0,0,
Carrie,4320,1800000,25878153,25878153,24078153,24078153,36.6284150148,18.71728585,19.2361317217,19,0,0,
A Nightmare on Elm Street,4321,1800000,25504513,25504513,23704513,23704513,36.6284150148,18.7145045797,19.2344772219,10,0,0,
Beasts of the Southern Wild,4322,1800000,12795746,21911774,10995746,20111774,36.6284150148,18.6873588903,19.17650722,55,0,0,
Dr. Strangelove,4323,1800000,9164370,9164370,7364370,7364370,36.6284150148,18.5846228623,19.1593063777,88,0,0,
Battle for the Planet of the Apes,4324,1800000,8800000,8800000,7000000,7000000,36.6284150148,18.5815253296,19.1575640098,51,0,0,
A Streetcar Named Desire,4325,1800000,8000000,8000000,6200000,6200000,36.6284150148,18.5746906311,19.1537278349,45,0,0,
Hang 'em High,4326,1800000,6800000,6800000,5000000,5000000,36.6284150148,18.56435019,19.1479458377,0,0,0,
El crimen de padre Amaro,4327,1800000,5719000,5719000,3919000,3919000,36.6284150148,18.5549427372,19.1427084434,4,0,0,
Songcatcher,4328,1800000,3050934,3050934,1250934,1250934,36.6284150148,18.5313377923,19.1296631578,84,0,0,
Higher Ground,4329,1800000,841056,842693,-958944,-957307,36.6284150148,18.5113705847,19.1187277856,71,0,0,
POM Wonderful Presents: The Greatest Movie Ever Sold,4330,1800000,638476,638476,-1161524,-1161524,36.6284150148,18.5095037274,19.1177193282,96,0,0,
Travellers and Magicians,4331,1800000,506793,1322161,-1293207,-477839,36.6284150148,18.5157400106,19.1170632552,72,0,0,
Ed and his Dead Mother,4332,1800000,673,673,-1799327,-1799327,36.6284150148,18.5036506863,19.1145376427,13,0,0,
Lola rennt,4339,1750000,7267324,22879194,5517324,21129194,36.3713576256,18.6951213033,19.1504425766,3,0,0,
May,4340,1750000,145540,634803,-1604460,-1115197,36.3713576256,18.5099275331,19.1155108127,67,0,0,
I Spit on Your Grave,4341,1750000,93051,1278471,-1656949,-471529,36.3713576256,18.5157973869,19.1152487747,62,0,0,
In the Bedroom,4343,1700000,35930604,42137871,34230604,40437871,36.1087313685,18.8320491467,19.2800705936,11,0,0,
